Currency,Date,Closing Price (USD),% Change,,,,Date,Cum Cases,Cum Deaths,%Change Cases,%Change Deaths,,,,,,,
XRP,12/01/2020,0.21374422,0%,,,,12/01/2020,0,0,0%,0%,,,,,,,
XRP,13/01/2020,0.211431249,-1%,,,,13/01/2020,1,0,0%,0%,,,,,,,
XRP,14/01/2020,0.234580269,11%,,,,14/01/2020,1,0,0%,0%,,,,,,,
XRP,15/01/2020,0.236574593,1%,,,,15/01/2020,2,1,100%,0%,,,,,,,
XRP,16/01/2020,0.228665943,-3%,,,,16/01/2020,2,1,0%,0%,,,,,,,
XRP,17/01/2020,0.240660808,5%,,,,17/01/2020,7,1,250%,0%,,,,,,,
XRP,18/01/2020,0.246585893,2%,,,,18/01/2020,24,1,243%,0%,,,,,,,
XRP,19/01/2020,0.233704306,-5%,,,,19/01/2020,160,2,567%,100%,,,,,,,
XRP,20/01/2020,0.233648671,0%,,,,20/01/2020,180,2,13%,0%,,,,,,,
XRP,21/01/2020,0.237796296,2%,,,,21/01/2020,333,5,85%,150%,,,,,,,
XRP,22/01/2020,0.235352441,-1%,,,,22/01/2020,475,16,43%,220%,,,,,,,
XRP,23/01/2020,0.22599015,-4%,,,,23/01/2020,572,16,20%,0%,,,,,,,
XRP,24/01/2020,0.221922965,-2%,,,,24/01/2020,838,25,47%,56%,,,,,,,
XRP,25/01/2020,0.220057247,-1%,,,,25/01/2020,1291,40,54%,60%,,,,,,,
XRP,26/01/2020,0.227436049,3%,,,,26/01/2020,1964,55,52%,38%,,,,,,,
XRP,27/01/2020,0.230406614,1%,,,,27/01/2020,2761,80,41%,45%,,,,,,,
XRP,28/01/2020,0.236901353,3%,,,,28/01/2020,4528,105,64%,31%,,,,,,,
XRP,29/01/2020,0.23683318,0%,,,,29/01/2020,6008,131,33%,25%,,,,,,,
XRP,30/01/2020,0.24571577,4%,,,,30/01/2020,7764,169,29%,29%,,,,,,,
XRP,31/01/2020,0.239005369,-3%,,,,31/01/2020,9767,212,26%,25%,,,,,,,
XRP,01/02/2020,0.241344712,1%,,,,01/02/2020,11887,258,22%,22%,,,,,,,
XRP,02/02/2020,0.252279635,5%,,,,02/02/2020,14495,304,22%,18%,,,,,,,
XRP,03/02/2020,0.25160931,0%,,,,03/02/2020,17313,361,19%,19%,,,,,,,
XRP,04/02/2020,0.264268855,5%,,,,04/02/2020,20556,426,19%,18%,,,,,,,
XRP,05/02/2020,0.278656371,5%,,,,05/02/2020,24463,492,19%,15%,,,,,,,
XRP,06/02/2020,0.280600623,1%,,,,06/02/2020,28214,564,15%,15%,,,,,,,
XRP,07/02/2020,0.278314987,-1%,,,,07/02/2020,31432,637,11%,13%,,,,,,,
XRP,08/02/2020,0.278179043,0%,,,,08/02/2020,34874,723,11%,14%,,,,,,,
XRP,09/02/2020,0.2837412,2%,,,,09/02/2020,37493,812,8%,12%,,,,,,,
XRP,10/02/2020,0.272721402,-4%,,,,10/02/2020,40481,909,8%,12%,,,,,,,
XRP,11/02/2020,0.281014198,3%,,,,11/02/2020,43046,1017,6%,12%,,,,,,,
XRP,12/02/2020,0.306843618,9%,,,,12/02/2020,45118,1114,5%,10%,,,,,,,
XRP,13/02/2020,0.327067547,7%,,,,13/02/2020,60269,1369,34%,23%,,,,,,,
XRP,14/02/2020,0.336337403,3%,,,,14/02/2020,64484,1382,7%,1%,,,,,,,
XRP,15/02/2020,0.311656692,-7%,,,,15/02/2020,67044,1526,4%,10%,,,,,,,
XRP,16/02/2020,0.29058452,-7%,,,,16/02/2020,69206,1668,3%,9%,,,,,,,
XRP,17/02/2020,0.283091948,-3%,,,,17/02/2020,71273,1774,3%,6%,,,,,,,
XRP,18/02/2020,0.298892831,6%,,,,18/02/2020,73268,1872,3%,6%,,,,,,,
XRP,19/02/2020,0.282319219,-6%,,,,19/02/2020,75132,2011,3%,7%,,,,,,,
XRP,20/02/2020,0.273695279,-3%,,,,20/02/2020,75664,2127,1%,6%,,,,,,,
XRP,21/02/2020,0.272574609,0%,,,,21/02/2020,76660,2246,1%,6%,,,,,,,
XRP,22/02/2020,0.275199091,1%,,,,22/02/2020,77745,2358,1%,5%,,,,,,,
XRP,23/02/2020,0.281979918,2%,,,,23/02/2020,78753,2462,1%,4%,,,,,,,
XRP,24/02/2020,0.268782521,-5%,,,,24/02/2020,79280,2618,1%,6%,,,,,,,
XRP,25/02/2020,0.256877303,-4%,,,,25/02/2020,80073,2697,1%,3%,,,,,,,
XRP,26/02/2020,0.232575954,-9%,,,,26/02/2020,80936,2761,1%,2%,,,,,,,
XRP,27/02/2020,0.23984748,3%,,,,27/02/2020,82042,2799,1%,1%,,,,,,,
XRP,28/02/2020,0.239175075,0%,,,,28/02/2020,83306,2856,2%,2%,,,,,,,
XRP,29/02/2020,0.23413805,-2%,,,,29/02/2020,85144,2920,2%,2%,,,,,,,
XRP,01/03/2020,0.227947656,-3%,,,,01/03/2020,86965,2978,2%,2%,,,,,,,
XRP,02/03/2020,0.238781622,5%,,,,02/03/2020,89009,3045,2%,2%,,,,,,,
XRP,03/03/2020,0.234584414,-2%,,,,03/03/2020,90806,3117,2%,2%,,,,,,,
